id,region,sexo,tramo_etario,informalidad,ganancia_final,tramos_ganancias,nivel_educativo,lugar_trabajo,financiamiento_inicial,motivacion
36189105,Tarapacá,Hombre,35 a 44 años,Informal,110000.0,$0 a $300.000,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Financiamiento formal (Bancos/Instituciones),Tradición familiar
61746634,Tarapacá,Hombre,65 años o más,Formal,30000.0,$0 a $300.000,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar
30871308,Atacama,Mujer,65 años o más,Formal,1300000.0,$600.001 a $1.000.000,Básica completa / Media incompleta,Vehículo,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades)
51475914,Tarapacá,Mujer,55 a 64 años,Informal,360000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
24189185,Atacama,Hombre,65 años o más,Formal,80000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Otra razón
41849228,Atacama,Mujer,45 a 54 años,Formal,16000000.0,Más de $2.500.000,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
20875033,Arica y Parinacota,Hombre,25 a 34 años,Formal,400000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
83325418,Tarapacá,Mujer,25 a 34 años,Formal,500000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
44840362,Tarapacá,Mujer,35 a 44 años,Informal,300000.0,$0 a $300.000,Básica completa / Media incompleta,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia)
58377117,Arica y Parinacota,Mujer,35 a 44 años,Informal,30000.0,$0 a $300.000,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
61068581,Atacama,Hombre,25 a 34 años,Formal,2300000.0,$1.500.001 a $2.500.000,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
35881914,Tarapacá,Hombre,55 a 64 años,Formal,300000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),No tiene un lugar fijo,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades)
53206706,Arica y Parinacota,Hombre,15 a 24 años,Informal,225000.0,$0 a $300.000,Media completa,Local/Oficina/Taller establecido,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia)
65625540,Atacama,Hombre,55 a 64 años,Formal,1400000.0,$600.001 a $1.000.000,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
68530271,Atacama,Hombre,55 a 64 años,Formal,1400000.0,$600.001 a $1.000.000,Superior completa (IP/CFT),Predio agrícola,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia)
23382097,Arica y Parinacota,Hombre,55 a 64 años,Informal,300000.0,$0 a $300.000,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades)
31830963,Tarapacá,Hombre,25 a 34 años,Formal,2000000.0,$1.000.001 a $1.500.000,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Tradición familiar
