id,region,sexo,tramo_etario,ganancia_final,lugar_trabajo,financiamiento_inicial,rama_economica,motivacion,informalidad,tramos_ganancias
1,Tarapacá,Hombre,45 a 59 años,110000.0,En la vía pública,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
2,Tarapacá,Hombre,Adulto Medio,30000.0,A domicilio,Ahorros propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
3,Atacama,Mujer,Adulto Medio,1300000.0,Instalación Independiente,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
4,Tarapacá,Mujer,Adulto Medio,360000.0,Instalación Independiente,Préstamo familiar,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
5,Atacama,Hombre,Adulto Medio,80000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Menos de $350.000
6,Atacama,Mujer,60 años o más,16000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Más de $1.500.000
7,Arica y Parinacota,Hombre,30 a 44 años,400000.0,Local u oficina comercial,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
8,Arica y Parinacota,Hombre,30 a 44 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
9,Tarapacá,Mujer,30 a 44 años,500000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
10,Tarapacá,Hombre,30 a 44 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
11,Tarapacá,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
12,Arica y Parinacota,Mujer,45 a 59 años,30000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
